,date,0.05%_ETH,0.05%_TVL,0.05%_USD,0.05%_txns,0.05%_fees,0.3%_ETH,0.3%_TVL,0.3%_USD,0.3%_txns,0.3%_fees,0.01%_ETH,0.01%_TVL,0.01%_USD,0.01%_txns,0.01%_fees,0.3%_ETHUSDT,0.3%_TVLUSDT,0.3%_USDT,0.3%_txnsUSDT,0.3%_feesUSDT,0.05%_ETHUSDT,0.05%_TVLUSDT,0.05%_USDT,0.05%_txnsUSDT,0.05%_feesUSDT,cumsum_0.05%_TVL_USDC,cumsum_0.3%_TVL_USDC,cumsum_0.01%_TVL_USDC,cumsum_0.05%_TVLUSDT,cumsum_0.3%_TVLUSDT,cumsum_0.05%_fees_USDC,cumsum_0.3%_fees_USDC,cumsum_0.01%_fees_USDC,cumsum_0.05%_fees_USDT,cumsum_0.3%_fees_USDT,0.05%_feesperUSDC,0.3%_feesperUSDC,0.01%_feesperUSDC,0.3%_feesperUSDT,0.05%_feesperUSDT,cumsum_0.05%_feesperUSDC,cumsum_0.3%_feesperUSDC,cumsum_0.01%_feesperUSDC,cumsum_0.05%_feesperUSDT,cumsum_0.3%_feesperUSDT
0,2022-01-03,3764.599189084079,106177037.26174349,498745548.3903261,4252.0,249372.77419516302,3764.7338675352885,109624900.21519573,43354339.58898846,285.0,130063.01876696538,3776.5762242565597,567.68067344631,18.923364476613152,5.0,0.0018923364476613152,3764.957307536158,36826516.9881848,18273264.034632094,244.0,54819.79210389629,3763.448085969702,10860493.05427063,69339027.54558776,1972.0,34669.51377279388,106177037.26174349,109624900.21519573,567.68067344631,10860493.05427063,36826516.9881848,249372.77419516302,130063.01876696538,0.0018923364476613152,34669.51377279388,54819.79210389629,0.0023486507123043846,0.0011864368269585582,3.333452301930952e-06,0.0014885956258498282,0.0031922596515229955,0.0023486507123043846,0.0011864368269585582,3.333452301930952e-06,0.0031922596515229955,0.0014885956258498282
1,2022-01-06,3406.220918707785,102182346.89254323,636625001.2174591,6064.0,318312.5006087295,3411.7717059883666,88081027.43583855,205440131.2492647,746.0,616320.3937477941,3403.344511946133,5348.92544810733,1998.739129058556,5.0,0.1998739129058556,3410.7984117149576,24157947.462930217,32206479.381261732,431.0,96619.4381437852,3414.04401462897,16301943.58367581,124303331.44594814,2305.0,62151.665722974074,208359384.1542867,197705927.6510343,5916.60612155364,27162436.63794644,60984464.45111502,567685.2748038925,746383.4125147595,0.20176624935351692,96821.17949576795,151439.2302476815,0.0031151418056924508,0.006997198053766396,3.736711510469438e-05,0.0039994887103734856,0.003812531027601553,0.005463792517996835,0.008183634880724955,4.070056740662533e-05,0.007004790679124549,0.005488084336223314
2,2022-01-07,3195.8157307040356,204722372.5370461,943904127.1872008,6957.0,471952.06359360035,3184.630951882621,79423610.67364313,229187844.5562554,1050.0,687563.5336687663,3206.9889399019967,18985584.26138845,641943.4182768143,28.0,64.19434182768143,3185.0137334963038,23215549.103868242,51268390.79516756,508.0,153805.17238550266,3193.6888665400475,7154860.119640716,113799022.7807402,2437.0,56899.5113903701,413081756.6913328,277129538.3246774,18991500.867510006,34317296.75758716,84200013.55498326,1039637.3383974929,1433946.9461835257,64.39610807703494,153720.69088613807,305244.40263318416,0.002305327247554231,0.008656916096323174,3.3812149757347936e-06,0.006625093022670534,0.007952567966238217,0.007769119765551066,0.01684055097704813,4.4081782382360125e-05,0.014957358645362765,0.012113177358893848
3,2022-01-08,3080.2727086748628,213031079.17048922,929913653.7501659,5428.0,464956.826875083,3091.167238601589,80610072.00633086,91412986.6913625,528.0,274238.9600740875,3117.5596298566234,5348.92544810733,1979.761856090862,6.0,0.1979761856090862,3090.9117053265195,36656076.147173196,22180953.502625454,324.0,66542.86050787636,3080.6146335600492,28001910.214623835,122518299.2398455,2153.0,61259.14961992275,626112835.861822,357739610.33100826,18996849.792958114,62319206.97221099,120856089.70215645,1504594.1652725758,1708185.906257613,64.59408426264403,214979.8405060608,371787.26314106054,0.002182577437459147,0.003402043358211485,3.701232846293237e-05,0.0018153296124961249,0.0021876775245115426,0.009951697203010212,0.020242594335259614,8.109411084529249e-05,0.017145036169874308,0.013928506971389972
4,2022-01-09,3149.5117276558385,222317749.11544988,543059952.9835324,3595.0,271529.9764917662,3150.9925616463565,83027670.27996424,34607595.33325354,304.0,103822.78599976063,3098.1090188634603,5348.92544810733,1494.9468997542572,3.0,0.14949468997542573,3149.578576531985,36574312.17748144,16271873.289216273,232.0,48815.61986764882,3150.2797143268112,20116876.92850447,71633669.8201499,1540.0,35816.834910074955,848430584.9772719,440767280.6109725,19002198.718406223,82436083.90071546,157430401.8796379,1776124.141764342,1812008.6922573738,64.74357895261946,250796.67541613575,420602.88300870935,0.0012213598670017137,0.0012504600652972259,2.794854619413757e-05,0.001334696866772638,0.0017804371442629117,0.011173057070011925,0.02149305440055684,0.00010904265703943006,0.01892547331413722,0.01526320383816261
5,2022-01-10,3082.084998324301,229023746.6673366,1116373944.2533157,5214.0,558186.9721266578,3077.106990411685,136776564.7863712,114081784.52825381,583.0,342245.35358476144,3016.0589955798823,5348.92544810733,1073.179587470403,3.0,0.1073179587470403,3076.6050114683,46782948.35799411,43741810.68727117,408.0,131225.4320618135,3080.9757087208736,15879432.15248203,107252502.57255112,2027.0,53626.25128627556,1077454331.6446085,577543845.3973438,19007547.64385433,98315516.05319749,204213350.237632,2334311.113891,2154254.0458421353,64.8508969113665,304422.9267024113,551828.3150705228,0.0024372449593073856,0.002502222176140395,2.0063461304179105e-05,0.0028049842232611265,0.0033770887252976187,0.01361030202931931,0.023995276576697235,0.00012910611834360917,0.02230256203943484,0.018068188061423737
6,2022-01-11,3237.9030209654543,249823680.51854908,623530009.8707207,4030.0,311765.0049353604,3238.311303199554,151749544.41321242,74331085.44005789,305.0,222993.25632017368,3219.0695915879946,5348.92544810733,980.6442399876421,2.0,0.09806442399876421,3236.4165684357595,50615895.0728576,23625091.36871305,266.0,70875.27410613916,3236.632180110744,18850265.878673334,76237530.3695899,1909.0,38118.765184794946,1327278012.1631575,729293389.8105562,19012896.56930244,117165781.93187082,254829245.3104896,2646076.1188263604,2377247.302162309,64.94896133536527,342541.6918872063,622703.589176662,0.0012479401643921112,0.0014694822128293538,1.833348117302017e-05,0.00140025725128677,0.0020221871367831186,0.01485824219371142,0.025464758789526587,0.00014743959951662934,0.024324749176217957,0.019468445312710508
7,2022-01-12,3369.9502657983953,489753355.65732735,674868206.1654259,4271.0,337434.103082713,3368.7336589551855,156260232.18455058,62103816.15594012,331.0,186311.4484678204,3379.0213120622484,134368.5514680445,4940965.017887851,67.0,494.09650178878513,3371.739837710034,48225609.72233119,21435340.388866067,280.0,64306.0211665982,3373.119550387385,23483762.809068568,106624279.93912809,2090.0,53312.13996956404,1817031367.8204849,885553621.9951067,19147265.120770484,140649544.74093938,303054855.03282076,2983510.221909073,2563558.7506301296,559.0454631241504,395853.8318567703,687009.6103432602,0.0006889878327220901,0.0011923151902640072,0.003677173686778123,0.001333441329966656,0.002270170262023633,0.01554723002643351,0.026657073979790596,0.003824613286294752,0.02659491943824159,0.020801886642677164
8,2022-01-13,3238.7838361160675,485341882.81655556,933526511.8561903,4045.0,466763.25592809514,3245.9262389137084,148857435.2565171,67493277.41462953,369.0,202479.83224388858,3256.865630882061,5348.92544810733,129720.81578565718,35.0,12.972081578565719,3245.877825145594,48824513.124813125,22119825.333335336,270.0,66359.47600000602,3241.7728222155442,16057093.417699285,116467176.18483424,1904.0,58233.58809241712,2302373250.6370406,1034411057.2516239,19152614.046218593,156706638.15863866,351879368.1576339,3450273.477837168,2766038.5828740182,572.0175447027161,454087.41994918743,753369.0863432663,0.0009617205364996646,0.0013602265274486774,0.0024251752439652667,0.001359142605894854,0.0036266581116248513,0.016508950562933174,0.028017300507239273,0.006249788530260019,0.030221577549866444,0.022161029248572016
9,2022-01-14,3310.6331694483847,282137376.6675538,651663968.250896,3902.0,325831.984125448,3304.6555359262425,152865765.27559906,59044980.92563417,371.0,177134.9427769025,3289.0664677363357,5348.92544810733,744.8541090679628,4.0,0.07448541090679628,3306.5741488243084,50335571.31306971,19186501.866764866,272.0,57559.5056002946,3308.144012616445,26682751.261712693,80884019.63079579,1771.0,40442.0098153979,2584510627.3045945,1187276822.5272229,19157962.9716667,183389389.42035136,402214939.4707036,3776105.461962616,2943173.525650921,572.092030113623,494529.42976458534,810928.5919435609,0.0011548699714089288,0.0011587613646361495,1.3925303620216333e-05,0.0011435154921018882,0.0015156611632260158,0.017663820534342102,0.029176061871875422,0.0062637138338802354,0.03173723871309246,0.023304544740673904
